################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Evaluation Voting -1/0/1/2.
# Format: CSV with header
#
# Participants were asked to give a score to each candidate, on the scale (-1,0,1,2).
# If the score is empty, it means that the voter did not evaluate the candidate (means
# the least score).
#
# * Column 1: Voter number
# * Column 2: score of Nathalie Arthaud
# * Column 3: score of François Asselineau
# * Column 4: score of Jacques Cheminade
# * Column 5: score of Nicolas Dupont-Aignan
# * Column 6: score of François Fillon
# * Column 7: score of Benoît Hamon
# * Column 8: score of Jean Lassalle
# * Column 9: score of Marine Le Pen
# * Column 10: score of Emmanuel Macron
# * Column 11: score of Jean-Luc Mélenchon
# * Column 12: score of Philippe Poutou
# * Column 13: vote at the first round of the official election (extracted from the questionnaire)
#
################################################################################
Voter,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou,official vote
Voter 29110,2,-1,-1,-1,-1,0,-1,-1,-1,2,2,Jean-Luc Mélenchon
Voter 29025,0,-1,0,0,-1,1,0,-1,-1,2,1,Jean-Luc Mélenchon
Voter 11376,0,-1,-1,-1,-1,2,-1,0,0,2,1,Jean-Luc Mélenchon
Voter 31301,0,,,,,1,,,,2,2,Jean-Luc Mélenchon
Voter 4899,0,2,1,-1,-1,-1,0,-1,-1,2,0,François Asselineau
Voter 23130,-1,0,0,1,1,-1,0,2,-1,-1,-1,Marine Le Pen
Voter 4026,1,0,1,-1,-1,1,1,-1,0,2,1,Jean-Luc Mélenchon
Voter 32368,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,Jean-Luc Mélenchon
Voter 17698,1,-1,-1,-1,-1,1,0,-1,-1,2,1,Jean-Luc Mélenchon
Voter 14923,-1,-1,-1,0,-1,1,-1,-1,0,2,0,Jean-Luc Mélenchon
Voter 37664,2,-1,-1,-1,-1,2,-1,-1,0,2,2,
Voter 2871,0,0,0,-1,-1,2,0,-1,1,1,0,Benoît Hamon
Voter 18176,-1,-1,-1,0,0,2,-1,-1,1,1,-1,incertitude
Voter 25180,2,,0,,,2,-1,,0,2,2,Benoît Hamon
Voter 30156,1,-1,-1,-1,-1,2,-1,-1,0,2,2,Jean-Luc Mélenchon
Voter 11103,0,-1,-1,-1,-1,2,0,-1,1,1,2,Benoît Hamon
Voter 14382,-1,-1,-1,-1,0,1,-1,-1,1,-1,-1,Emmanuel Macron
Voter 33524,1,0,0,-1,-1,1,0,-1,-1,2,1,Jean-Luc Mélenchon
Voter 15445,-1,-1,-1,-1,0,2,0,-1,2,0,-1,non inscrit
Voter 10036,-1,-1,-1,-1,2,0,-1,-1,1,0,0,incertitude
Voter 28431,0,,,2,-1,2,0,-1,1,0,0,Benoît Hamon
Voter 3089,1,1,1,1,-1,0,1,-1,0,2,1,Jean-Luc Mélenchon
Voter 3020,0,-1,-1,-1,-1,0,-1,-1,-1,0,1,abstention
Voter 11545,-1,-1,-1,-1,2,1,-1,-1,1,2,0,Jean-Luc Mélenchon
Voter 12932,0,0,0,0,-1,1,0,-1,-1,2,0,abstention
Voter 26898,0,,0,0,-1,2,1,-1,0,2,1,Jean-Luc Mélenchon
Voter 26412,0,,,0,,2,1,,1,2,2,Jean-Luc Mélenchon
Voter 27651,0,-1,-1,0,-1,2,-1,-1,0,1,0,Benoît Hamon
Voter 1503,0,-1,-1,-1,-1,2,-1,-1,1,0,1,Benoît Hamon
Voter 9215,0,1,-1,0,-1,1,1,-1,-1,2,0,Jean-Luc Mélenchon
Voter 24026,,,,,,0,,,,2,,Jean-Luc Mélenchon
Voter 28330,-1,-1,-1,0,1,1,-1,-1,2,1,-1,Emmanuel Macron
Voter 21857,-1,-1,-1,-1,-1,1,-1,-1,2,2,-1,Emmanuel Macron
Voter 20554,-1,-1,-1,-1,-1,1,-1,-1,0,2,0,Jean-Luc Mélenchon
Voter 9232,-1,-1,-1,-1,-1,2,-1,-1,0,1,0,Benoît Hamon
Voter 28796,-1,1,-1,0,-1,-1,-1,-1,2,0,-1,Emmanuel Macron
Voter 6277,0,0,0,0,-1,0,2,-1,1,2,1,Jean Lassalle
Voter 21670,1,0,0,-1,-1,1,0,-1,-1,2,1,Jean-Luc Mélenchon
Voter 12262,-1,0,0,-1,-1,1,0,-1,-1,2,-1,Jean-Luc Mélenchon
Voter 6631,-1,1,0,1,-1,-1,0,2,-1,0,-1,Marine Le Pen
Voter 6480,,0,0,0,-1,1,0,-1,0,2,1,incertitude
Voter 29993,1,-1,1,-1,-1,2,1,-1,-1,2,1,Jean-Luc Mélenchon
Voter 18544,1,-1,-1,-1,-1,1,-1,-1,-1,2,2,Jean-Luc Mélenchon
Voter 34005,0,,,,,2,,,,2,0,Jean-Luc Mélenchon
Voter 16685,1,0,0,0,-1,1,0,-1,-1,2,1,Jean-Luc Mélenchon
Voter 8561,0,-1,-1,-1,-1,0,-1,-1,-1,0,1,abstention
Voter 14574,1,1,0,0,-1,1,0,0,0,2,1,Jean-Luc Mélenchon
Voter 16517,0,-1,-1,-1,-1,1,1,-1,-1,2,1,ne se prononce pas
Voter 3153,0,-1,-1,-1,-1,2,-1,-1,1,2,0,Benoît Hamon
Voter 20903,-1,-1,0,-1,-1,0,0,-1,1,-1,0,blanc
Voter 17193,-1,0,-1,1,2,-1,1,0,0,-1,-1,François Fillon
Voter 17488,-1,-1,-1,-1,-1,2,0,-1,0,2,0,Jean-Luc Mélenchon
Voter 24691,-1,-1,-1,-1,-1,2,-1,-1,0,2,0,Jean-Luc Mélenchon
Voter 368,,,,,,0,0,,1,2,1,Jean-Luc Mélenchon
Voter 4477,1,,,,,2,,,,2,0,Jean-Luc Mélenchon
Voter 2612,0,-1,0,-1,-1,1,-1,-1,0,2,0,Jean-Luc Mélenchon
Voter 29359,-1,-1,1,0,2,0,2,0,1,0,-1,blanc
Voter 26515,,,0,,,0,,,2,0,,Emmanuel Macron
Voter 22734,1,0,0,0,-1,2,0,-1,0,2,1,ne se prononce pas
Voter 17303,1,-1,0,-1,-1,2,0,-1,-1,1,1,Benoît Hamon
Voter 6438,1,,,,,2,,,,2,1,Jean-Luc Mélenchon
Voter 11058,0,,,,-1,2,,-1,2,1,1,Emmanuel Macron
Voter 26746,-1,-1,-1,-1,-1,2,-1,-1,0,1,0,Benoît Hamon
Voter 22377,-1,0,1,-1,-1,-1,-1,-1,-1,0,-1,Jacques Cheminade
Voter 8079,0,-1,1,-1,-1,2,-1,-1,-1,2,-1,Benoît Hamon
Voter 28987,1,1,0,0,-1,1,-1,-1,-1,2,1,Jean-Luc Mélenchon
Voter 842,1,0,0,,,2,0,,0,1,0,Benoît Hamon
Voter 26661,1,,0,,,0,0,,-1,2,1,Jean-Luc Mélenchon
Voter 1137,0,0,0,0,0,2,0,-1,1,1,0,Benoît Hamon
Voter 12412,-1,0,1,-1,-1,2,0,-1,-1,2,1,Benoît Hamon
Voter 26226,,,,,0,2,1,,2,0,,Emmanuel Macron
Voter 23939,0,-1,0,0,-1,2,0,-1,1,2,1,Jean-Luc Mélenchon
Voter 25166,1,-1,-1,-1,-1,2,0,-1,-1,2,1,Jean-Luc Mélenchon
Voter 14696,0,0,0,0,-1,2,-1,-1,2,0,1,Emmanuel Macron
Voter 28150,-1,-1,-1,-1,-1,2,-1,-1,0,2,1,Benoît Hamon
Voter 12345,,,,,0,0,,,2,0,,Emmanuel Macron
Voter 14048,1,-1,-1,-1,-1,1,-1,-1,-1,2,2,Jean-Luc Mélenchon
Voter 30682,0,0,0,-1,-1,1,0,-1,-1,2,0,Jean-Luc Mélenchon
Voter 10541,0,,,1,-1,1,,0,1,2,0,Jean-Luc Mélenchon
Voter 29508,-1,0,0,-1,1,1,2,-1,2,1,-1,Emmanuel Macron
Voter 13307,0,-1,-1,-1,-1,0,-1,-1,0,0,0,incertitude
Voter 23959,-1,0,-1,0,0,-1,-1,-1,2,-1,-1,Emmanuel Macron
Voter 17693,0,-1,1,-1,-1,2,-1,-1,0,2,0,Jean-Luc Mélenchon
Voter 26079,1,0,0,0,-1,1,-1,-1,1,2,1,Jean-Luc Mélenchon
Voter 23886,-1,-1,0,0,2,1,1,-1,2,-1,-1,Emmanuel Macron
Voter 21745,0,-1,0,0,-1,0,0,-1,0,2,0,Jean-Luc Mélenchon
Voter 3979,-1,-1,-1,1,-1,-1,-1,-1,2,0,-1,Emmanuel Macron
Voter 21538,1,,1,-1,0,2,1,-1,2,0,1,Emmanuel Macron
Voter 37375,-1,0,-1,-1,-1,1,-1,-1,0,2,1,Jean-Luc Mélenchon
Voter 3929,2,-1,0,-1,-1,-1,0,-1,-1,2,2,Jean-Luc Mélenchon
Voter 27055,-1,-1,-1,-1,2,0,0,-1,2,-1,-1,incertitude
Voter 22662,0,1,,1,-1,0,-1,0,-1,0,0,incertitude
Voter 14657,1,-1,-1,-1,-1,2,-1,-1,-1,2,2,Jean-Luc Mélenchon
Voter 3312,,,,-1,-1,1,,-1,1,1,,incertitude
Voter 743,1,,,-1,-1,2,0,-1,0,1,2,incertitude
Voter 11683,0,0,0,0,-1,2,0,-1,0,2,0,Jean-Luc Mélenchon
Voter 28321,-1,-1,-1,0,1,2,-1,-1,1,2,-1,François Fillon
Voter 30744,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,ne se prononce pas
Voter 28346,0,-1,-1,-1,-1,2,0,-1,1,2,1,Jean-Luc Mélenchon
Voter 10442,0,-1,0,0,2,0,-1,-1,0,0,-1,François Fillon
Voter 10367,0,,-1,-1,-1,2,-1,-1,-1,2,-1,Jean-Luc Mélenchon
