################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Evaluation Voting 0/1/2.
# Format: CSV with header
#
# Participants were asked to give a score to each candidate, on the scale (0,1,2).
# If the score is empty, it means that the voter did not evaluate the candidate (means
# the least score).
#
# * Column 1: Voter number
# * Column 2: score of Nathalie Arthaud
# * Column 3: score of François Asselineau
# * Column 4: score of Jacques Cheminade
# * Column 5: score of Nicolas Dupont-Aignan
# * Column 6: score of François Fillon
# * Column 7: score of Benoît Hamon
# * Column 8: score of Jean Lassalle
# * Column 9: score of Marine Le Pen
# * Column 10: score of Emmanuel Macron
# * Column 11: score of Jean-Luc Mélenchon
# * Column 12: score of Philippe Poutou
# * Column 13: vote at the first round of the official election (extracted from the questionnaire)
#
################################################################################
Voter,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou,official vote
Voter 34336,0,0,,0,0,2,,0,0,1,0,Benoît Hamon
Voter 26089,1,0,0,0,0,2,1,0,0,2,1,Jean-Luc Mélenchon
Voter 25313,1,0,0,0,0,2,0,0,0,2,1,Jean-Luc Mélenchon
Voter 20291,0,0,0,0,0,2,0,0,1,1,0,Benoît Hamon
Voter 3069,0,0,0,0,0,2,0,0,0,0,0,Benoît Hamon
Voter 22530,,0,,,,,,,,2,2,non inscrit
Voter 33754,0,0,0,0,0,2,0,0,1,2,1,Jean-Luc Mélenchon
Voter 18983,0,0,0,0,0,2,0,0,2,1,0,Emmanuel Macron
Voter 26238,,2,,,,,1,,,,1,François Asselineau
Voter 14371,0,0,0,0,0,1,0,0,0,2,2,Jean-Luc Mélenchon
Voter 15730,1,,,,,2,,,1,1,1,Benoît Hamon
Voter 4038,1,0,0,0,0,1,0,0,0,1,1,abstention
Voter 21044,0,0,0,0,0,1,0,0,0,2,1,Jean-Luc Mélenchon
Voter 33815,1,1,0,0,0,2,1,0,0,2,1,Jean-Luc Mélenchon
Voter 17457,1,0,1,0,0,2,1,0,1,2,1,Jean-Luc Mélenchon
Voter 23767,1,,,,,2,,,,2,,incertitude
Voter 20698,1,0,0,0,0,2,1,0,2,2,2,Benoît Hamon
Voter 11010,0,0,0,1,0,1,0,0,0,2,1,Jean-Luc Mélenchon
Voter 21934,0,1,1,2,1,0,1,2,1,2,2,blanc
Voter 2285,1,0,1,0,0,0,1,0,0,2,1,Jean-Luc Mélenchon
Voter 30165,,1,,,,,,,,1,,abstention
Voter 9601,0,0,0,0,0,1,0,0,0,2,1,Jean-Luc Mélenchon
Voter 23945,1,0,0,0,0,2,0,0,0,2,1,Jean-Luc Mélenchon
Voter 4261,1,0,0,0,0,2,0,0,1,0,0,Benoît Hamon
Voter 5927,0,0,0,0,0,1,0,0,1,,0,blanc
Voter 5063,0,0,0,0,0,1,0,0,1,2,0,Jean-Luc Mélenchon
Voter 19753,1,0,0,0,0,2,0,0,2,1,1,incertitude
Voter 19518,1,0,1,0,0,1,1,0,0,2,1,Jean-Luc Mélenchon
Voter 7775,1,1,1,,,,,,,2,1,Jean-Luc Mélenchon
Voter 3730,1,0,0,0,0,2,0,0,0,2,1,Benoît Hamon
Voter 11439,0,0,0,1,2,1,0,0,0,1,0,François Fillon
Voter 21429,1,,,,,1,,,,2,1,Jean-Luc Mélenchon
Voter 14485,1,0,0,0,0,2,0,0,0,2,1,Benoît Hamon
Voter 1083,,,,,,,,,,2,,Jean-Luc Mélenchon
Voter 29311,0,2,2,0,0,1,2,0,0,1,1,François Asselineau
Voter 30501,0,0,1,0,0,2,0,0,1,1,0,Benoît Hamon
Voter 963,2,0,1,0,0,2,1,0,0,2,1,Jean-Luc Mélenchon
Voter 15690,1,0,0,0,0,1,0,0,0,2,1,Jean-Luc Mélenchon
Voter 10577,0,0,0,0,1,0,0,2,0,0,0,Marine Le Pen
Voter 3226,1,0,0,0,0,2,0,0,0,2,1,Jean-Luc Mélenchon
Voter 1984,1,0,0,0,0,2,1,0,0,1,1,Benoît Hamon
Voter 1008,0,0,1,0,0,1,0,0,2,2,0,Emmanuel Macron
Voter 24769,1,0,0,0,0,2,1,0,0,1,2,Benoît Hamon
Voter 17832,0,0,0,0,0,2,0,0,1,1,0,Benoît Hamon
Voter 22474,1,0,0,1,0,2,0,0,0,2,1,Jean-Luc Mélenchon
Voter 3262,0,0,0,0,0,2,1,0,2,0,1,Benoît Hamon
Voter 10331,2,,1,0,0,1,1,0,1,2,2,Jean-Luc Mélenchon
Voter 1788,1,0,0,0,0,2,0,0,1,2,1,Jean-Luc Mélenchon
Voter 3543,2,0,0,0,0,1,0,0,0,2,2,Philippe Poutou
Voter 25517,0,0,0,0,0,0,0,0,0,0,0,blanc
Voter 18949,1,0,0,0,0,2,0,0,1,2,1,Benoît Hamon
Voter 10675,0,0,0,0,0,1,0,0,0,2,2,
Voter 18195,1,2,1,0,0,0,1,0,0,0,0,François Asselineau
Voter 11729,0,0,0,0,0,2,0,0,1,2,1,Jean-Luc Mélenchon
Voter 1057,0,0,0,0,0,1,0,0,2,0,0,Emmanuel Macron
Voter 5174,0,0,1,1,0,2,0,0,0,2,1,Jean-Luc Mélenchon
Voter 21552,0,0,0,1,0,0,0,1,2,0,0,Emmanuel Macron
Voter 18137,0,0,0,0,0,1,1,0,2,0,0,Emmanuel Macron
Voter 29910,0,0,1,1,0,2,0,0,2,2,0,Emmanuel Macron
Voter 7629,0,1,0,2,2,0,0,1,0,0,0,François Fillon
Voter 4758,1,0,0,0,0,1,0,0,0,1,2,Philippe Poutou
Voter 15931,1,,,,,2,,,,2,2,Jean-Luc Mélenchon
Voter 1164,1,,,,,2,,,0,2,,Benoît Hamon
Voter 37251,1,0,1,0,0,2,0,0,0,1,1,Benoît Hamon
Voter 2735,0,1,0,1,0,1,0,2,0,1,0,Marine Le Pen
Voter 13597,0,0,0,1,1,2,0,0,1,2,0,Jean-Luc Mélenchon
Voter 37627,0,0,0,1,2,1,1,0,2,0,0,
