################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Post first-round Questionnaire
# Format: CSV with header
#
# The questionnaire filled-in by the participants at the end of the experiment (version
# proposed to the participants after the first round of the official election)
# For most questions, the participants were free not to answer at all (empty value)
# or explicitly they do not want to answer (value "nspp").
#
# * Column 1: Voter number
# * Colums 2-12: Appreciation of voting methods (-2, -1, 0, 1, 2) (NP) means that the
#   voter did not test this method. No value means that the voter did not answer.
#   - Column 2: Approval
#   - Column 3: Evaluation 0/1/2
#   - Column 4: Evaluation 0/1/2/3
#   - Column 5: Evaluation -1/0/1/2
#   - Column 6: Evaluation -1/0/1
#   - Column 7: Borda 4
#   - Column 8: STV 4-11
#   - Column 9: STV 1-11
#   - Column 10: Evaluation Continuous
#   - Column 11: Condorcet
#   - Column 12: two round majority
# * Column 13: what did you do at the first round of the official election?
#   (vote for candidate X / blanc = blank / abstention = abstain / ni = I do not have the right to vote / nspp)
# * Column 14: did you vote sincerely? (t = yes / f = no)
# * Column 15: did you vote strategically? (t = yes / f = no)
# * Column 16: did you have another motivation? (free text)
# * Column 17: now that you know the results of the first round, do you think you did the right choice?
#   (-2 = not at all / -1 = rather not / 1 = rather yes / 2 = absolutely)
# * Column 18: if you could revote, what would you do? (vote for candidate X / blanc = blank /
#   abstention = abstain / ni = I do not have the right to vote / nspp)
# * Column 19: if you are noty satisfied, is it because you should have voted sincerely? (t = yes / f = no)
# * Column 20: if you are noty satisfied, is it because you should have voted strategically? (t = yes / f = no)
# * Column 21: if you are noty satisfied, is it for another reason? (free text)
# * Column 22: What do you plan to do for the second round of the official election?
#   (vote for candidate X / blanc = blank / abstention = abstain / ni = I do not have the right to vote / nspp)
# * Column 23: vote is a right (t = yes / f = no)
# * Column 24: vote is a duty (t = yes / f = no)
# * Column 25: vote is a chance (t = yes / f = no)
# * Column 26: vote is useful (t = yes / f = no)
# * Column 27: evaluate your position on a left / right axis (0 = left ... 10 = right)
# * Column 28: age group (18-29, 30-39, 40-49, 50-59, 60-69, 70)
# * Column 29: gender (h = male / f = female)
# * Column 30: level of education (primaire = basic / secondaire = intermediate / superieur = higher)
# * Column 31: socio-professional category (liberal = "profession libérale", approximately self-employed
#   independent profession / prive = employee in the private sector /
#   public = employee in the public sector / chomage = unemployed / etudiant = student / autre = other)
#
################################################################################
"Voter","Appreciation Approval","Appreciation Evaluation 0/1/2","Appreciation Evaluation 0/1/2/3","Appreciation Evaluation -1/0/1/2","Appreciation Evaluation -1/0/1","Appreciation Borda 4","Appreciation STV 4-11","Appreciation STV 1-11","Appreciation Evaluation Continuous","Appreciation Condorcet","Appreciation two round majority","official vote","I voted sincerely","I voted strategically","Other motivation","Regret evaluation","I should have voted...","I should have voted sincerely","I should have voted strategically","I should have voted otherwise","second round","vote is a right","vote is a duty","vote is a chance","vote is useful","left right","age","gender","studies","socioprofessional"
"Voter 35784","(NP)","","(NP)","(NP)","","","(NP)","(NP)","","","","Philippe Poutou","t","f","","2","Philippe Poutou","f","f","","ne se prononce pas","","","","","","50-59","f","superieur","prive"
"Voter 35785","","(NP)","(NP)","","(NP)","(NP)","","(NP)","","","","Benoît Hamon","t","f","","1","Benoît Hamon","f","t","","Emmanuel Macron","","","","","","30-39","h","superieur","prive"
"Voter 35786","2","(NP)","(NP)","2","(NP)","(NP)","(NP)","-1","","","-2","Emmanuel Macron","f","t","","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","3","50-59","h","superieur","public"
"Voter 35787","","(NP)","(NP)","(NP)","","(NP)","(NP)","","","","-2","Emmanuel Macron","f","f","Vote utile","1","","f","f","Je regrette d'avoir toujours a faire des votes utiles","Emmanuel Macron","t","","t","t","4","60-69","f","superieur","retraite"
"Voter 35788","","(NP)","","(NP)","(NP)","(NP)","(NP)","","","","","abstention","f","f","","-1","blanc","f","f","","Emmanuel Macron","","","","","","18-29","h","secondaire","etudiant"
"Voter 35789","1","(NP)","(NP)","-1","(NP)","(NP)","(NP)","1","","","-1","Emmanuel Macron","f","t","","1","Emmanuel Macron","f","f","i l fallait barrer le FN donc pas d'autre choix","Emmanuel Macron","t","t","t","","4","+70","h","superieur","retraite"
"Voter 35790","","(NP)","","(NP)","(NP)","(NP)","","(NP)","","","","Emmanuel Macron","f","t","","1","Emmanuel Macron","t","f","","Emmanuel Macron","","","","","","40-49","h","superieur","public"
"Voter 35791","","(NP)","(NP)","","(NP)","(NP)","(NP)","","","","","Emmanuel Macron","t","f","","1","Emmanuel Macron","f","f","","Emmanuel Macron","","","","","","18-29","f","superieur","etudiant"
"Voter 35792","(NP)","0","(NP)","(NP)","0","(NP)","(NP)","0","","","0","abstention","f","f","","-1","Jean-Luc Mélenchon","f","t","","Emmanuel Macron","t","","t","f","3","50-59","f","superieur","prive"
"Voter 35793","(NP)","","(NP)","(NP)","","(NP)","","(NP)","","","","Emmanuel Macron","f","t","","2","Emmanuel Macron","f","f","","Emmanuel Macron","","","","","","+70","h","superieur","retraite"
"Voter 35794","(NP)","","(NP)","(NP)","","(NP)","","(NP)","","","","Emmanuel Macron","t","f","","2","Emmanuel Macron","t","f","","Emmanuel Macron","","","","","","18-29","h","secondaire","etudiant"
"Voter 35795","","(NP)","(NP)","(NP)","","(NP)","","(NP)","","","","Emmanuel Macron","t","f","","2","Emmanuel Macron","f","f","","Emmanuel Macron","","","","","","18-29","h","superieur","etudiant"
"Voter 35796","(NP)","(NP)","0","0","(NP)","(NP)","-2","(NP)","","","1","Emmanuel Macron","t","f","","1","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","4","18-29","f","superieur","etudiant"
"Voter 35797","1","(NP)","1","(NP)","(NP)","(NP)","(NP)","-1","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","f","","","18-29","f","superieur","chomage"
"Voter 35798","1","(NP)","(NP)","(NP)","0","(NP)","(NP)","1","","","1","Emmanuel Macron","t","f","","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","4","18-29","h","superieur","etudiant"
"Voter 35799","(NP)","","(NP)","(NP)","","(NP)","","(NP)","","","","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","18-29","h","superieur","public"
"Voter 35800","","(NP)","(NP)","(NP)","","(NP)","","(NP)","","","","Jean-Luc Mélenchon","t","f","","1","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","30-39","h","superieur","liberal"
"Voter 35801","(NP)","(NP)","","","(NP)","","(NP)","(NP)","","","","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","30-39","h","superieur","chomage"
"Voter 35802","","(NP)","","(NP)","(NP)","(NP)","","(NP)","","","","Jean-Luc Mélenchon","f","t","","-1","Benoît Hamon","t","f","","Emmanuel Macron","","","","","","50-59","h","superieur","public"
"Voter 35803","","(NP)","","(NP)","(NP)","(NP)","","(NP)","","","","Emmanuel Macron","t","f","","2","Emmanuel Macron","f","f","","Emmanuel Macron","","","","","","30-39","f","superieur","liberal"
"Voter 35804","","(NP)","(NP)","","(NP)","(NP)","","(NP)","","","","Philippe Poutou","t","f","","2","Philippe Poutou","f","f","","blanc","","","","","","18-29","h","secondaire","chomage"
"Voter 35805","","(NP)","","(NP)","(NP)","(NP)","(NP)","","","","","Jean-Luc Mélenchon","t","t","","2","Jean-Luc Mélenchon","f","f","","blanc","","","","","","30-39","h","superieur","prive"
"Voter 35806","1","(NP)","(NP)","(NP)","1","(NP)","(NP)","2","","","-2","Jean-Luc Mélenchon","t","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","f","t","3","18-29","h","superieur","liberal"
"Voter 35807","2","(NP)","1","(NP)","(NP)","(NP)","1","(NP)","","","-2","Emmanuel Macron","t","f","","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","4","30-39","f","superieur","liberal"
"Voter 35808","(NP)","","(NP)","(NP)","","","(NP)","(NP)","","","","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","30-39","f","superieur","public"
"Voter 35809","","(NP)","(NP)","","(NP)","(NP)","(NP)","","","","","Jean-Luc Mélenchon","t","t","","2","Jean-Luc Mélenchon","f","f","","blanc","","","","","","40-49","h","superieur","autre"
"Voter 35810","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","","Benoît Hamon","t","f","","2","Benoît Hamon","f","t","","Emmanuel Macron","","","","","","30-39","f","superieur","public"
"Voter 35811","(NP)","(NP)","1","1","(NP)","1","(NP)","(NP)","","","-1","Jean-Luc Mélenchon","t","t","","2","Jean-Luc Mélenchon","f","f","","blanc","t","","t","t","1","40-49","h","superieur","autre"
"Voter 35812","","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","Jean-Luc Mélenchon","f","f","Je n'ai jamais cru au conservatisme ni à l'ultra libéralisme","2","Jean-Luc Mélenchon","f","f","Les français ne voient pas plus loin que leurs positions proximales","ne se prononce pas","","","","","","18-29","h","superieur","etudiant"
"Voter 35813","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","","Jean-Luc Mélenchon","f","t","","","Jean-Luc Mélenchon","f","f","C'est celui qui me paraissait le plus intègre, même si je n'étais pas en accord avec tout","","","","","","","50-59","h","superieur","autre"
"Voter 35814","","(NP)","(NP)","(NP)","","(NP)","","(NP)","","","","Benoît Hamon","t","f","","2","Benoît Hamon","f","f","","Emmanuel Macron","","","","","","18-29","f","superieur","autre"
"Voter 35815","1","(NP)","(NP)","(NP)","-1","1","(NP)","(NP)","","","-1","Emmanuel Macron","f","t","","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","f","5","50-59","f","superieur","public"
"Voter 35816","1","(NP)","(NP)","1","(NP)","(NP)","1","(NP)","","","-1","","f","t","","-1","Benoît Hamon","t","f","","Emmanuel Macron","t","t","t","t","2","nspp","nspp","nspp","nspp"
"Voter 35817","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","","non inscrit","f","t","","1","non inscrit","f","f","","non inscrit","","","","","","","","",""
"Voter 35818","(NP)","(NP)","","","(NP)","","(NP)","(NP)","","","","","f","f","","","","f","f","","","","","","","","","","",""
"Voter 35819","(NP)","(NP)","1","1","(NP)","(NP)","-1","(NP)","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","t","f","t","t","2","40-49","h","superieur","public"
"Voter 35820","1","(NP)","(NP)","-2","(NP)","1","(NP)","(NP)","","","0","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","f","t","t","t","3","18-29","h","superieur","etudiant"
"Voter 35821","(NP)","(NP)","0","1","(NP)","(NP)","(NP)","1","","","0","Jean-Luc Mélenchon","f","t","","1","Benoît Hamon","t","f","","Emmanuel Macron","t","t","t","t","","18-29","h","superieur","prive"
"Voter 35822","0","(NP)","2","(NP)","(NP)","(NP)","(NP)","0","","","0","Jean-Luc Mélenchon","t","t","","1","Jean-Luc Mélenchon","f","f","","blanc","","t","t","","0","30-39","h","superieur","chomage"
"Voter 35823","","(NP)","(NP)","","(NP)","","(NP)","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","18-29","h","superieur","prive"
"Voter 35824","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","","Emmanuel Macron","t","f","","2","Emmanuel Macron","f","f","","Emmanuel Macron","","","","","","30-39","h","superieur","prive"
"Voter 35825","(NP)","(NP)","1","1","(NP)","(NP)","2","(NP)","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","t","2","18-29","h","superieur","prive"
"Voter 35826","2","(NP)","1","(NP)","(NP)","(NP)","0","(NP)","","","-2","Jean-Luc Mélenchon","t","f","","1","Jean-Luc Mélenchon","f","f","","abstention","t","f","t","f","3","18-29","h","superieur","liberal"
"Voter 35827","2","(NP)","(NP)","(NP)","2","2","(NP)","(NP)","","","-2","Emmanuel Macron","t","t","","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","f","5","30-39","h","superieur","prive"
"Voter 35828","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","","Marine Le Pen","f","t","","2","Marine Le Pen","f","f","","Marine Le Pen","","","","","","40-49","h","superieur","chomage"
"Voter 35829","(NP)","","(NP)","(NP)","","","(NP)","(NP)","","","","Jean-Luc Mélenchon","t","f","","1","Jean-Luc Mélenchon","t","f","Pas d'accord sur tout, mais il n'y a pas plus proche de mes idées","Emmanuel Macron","","","","","","60-69","h","superieur","liberal"
"Voter 35830","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","","Emmanuel Macron","f","t","","1","Emmanuel Macron","f","f","","Emmanuel Macron","","","","","","50-59","f","superieur","public"
"Voter 35831","","(NP)","","(NP)","(NP)","(NP)","(NP)","","","","","Jean-Luc Mélenchon","t","f","","1","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","30-39","h","superieur","prive"
"Voter 35832","1","(NP)","0","(NP)","(NP)","-1","(NP)","(NP)","","","-2","Jean-Luc Mélenchon","f","f","","1","Jean-Luc Mélenchon","t","f","","Emmanuel Macron","","t","t","","3","60-69","h","superieur","liberal"
"Voter 35833","","(NP)","(NP)","","(NP)","(NP)","","(NP)","","","","Jean-Luc Mélenchon","f","t","","1","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","18-29","nspp","superieur","etudiant"
"Voter 35834","(NP)","","(NP)","(NP)","","","(NP)","(NP)","","","","Emmanuel Macron","t","f","","1","Emmanuel Macron","f","f","","Emmanuel Macron","","","","","","30-39","h","superieur","public"
"Voter 35835","(NP)","0","(NP)","(NP)","0","(NP)","1","(NP)","","","1","Emmanuel Macron","t","f","","1","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","7","18-29","h","superieur","prive"
"Voter 35836","(NP)","(NP)","","","(NP)","(NP)","(NP)","","","","","Benoît Hamon","f","f","j'ai jouer a pile ou face entre les deux que j'estimais les moins pires.","1","abstention","f","f","","abstention","","","","","","18-29","h","nspp","nspp"
"Voter 35837","","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","Emmanuel Macron","f","t","Il correspondait à peu près à mes idées","1","Emmanuel Macron","f","f","","Emmanuel Macron","","","","","","50-59","f","superieur","public"
"Voter 35838","(NP)","","(NP)","(NP)","","(NP)","","(NP)","","","","Emmanuel Macron","t","f","","2","Emmanuel Macron","f","f","","Emmanuel Macron","","","","","","60-69","h","secondaire","retraite"
"Voter 35839","(NP)","-1","(NP)","(NP)","-1","(NP)","0","(NP)","","","-2","Benoît Hamon","t","f","","1","Benoît Hamon","f","f","","Emmanuel Macron","t","t","f","t","5","18-29","h","superieur","prive"
"Voter 35840","(NP)","","(NP)","(NP)","","","(NP)","(NP)","","","","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","blanc","","","","","","40-49","h","superieur","prive"
"Voter 35841","","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","François Asselineau","t","f","","1","Jean-Luc Mélenchon","f","t","","Marine Le Pen","","","","","","40-49","h","secondaire","liberal"
"Voter 35842","","(NP)","","(NP)","(NP)","(NP)","(NP)","","","","","Emmanuel Macron","f","t","","2","Emmanuel Macron","t","f","","Emmanuel Macron","","","","","","18-29","f","superieur","prive"
"Voter 35843","(NP)","","(NP)","(NP)","","(NP)","","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","Les 2 sélectionnés ne correspondent pas à mes idées.","blanc","","","","","","60-69","f","superieur","retraite"
"Voter 35844","1","(NP)","(NP)","(NP)","-1","(NP)","1","(NP)","","","1","Benoît Hamon","t","f","","2","Benoît Hamon","f","f","","Emmanuel Macron","t","t","t","f","4","40-49","h","superieur","public"
"Voter 35845","1","(NP)","1","(NP)","(NP)","1","(NP)","(NP)","","","-2","François Asselineau","t","f","","1","Jean-Luc Mélenchon","f","t","","Marine Le Pen","t","t","t","f","5","40-49","h","secondaire","liberal"
"Voter 35846","(NP)","(NP)","","","(NP)","(NP)","(NP)","","","","","Jean-Luc Mélenchon","f","t","","1","Benoît Hamon","t","f","","Emmanuel Macron","","","","","","30-39","f","superieur","public"
"Voter 35847","","(NP)","(NP)","","(NP)","(NP)","","(NP)","","","","Emmanuel Macron","t","t","","2","Emmanuel Macron","f","f","","Emmanuel Macron","","","","","","18-29","f","superieur","public"
"Voter 35848","","(NP)","(NP)","","(NP)","","(NP)","(NP)","","","","Jean-Luc Mélenchon","f","t","","1","Jean-Luc Mélenchon","f","f","","","","","","","","30-39","h","superieur","prive"
"Voter 35849","(NP)","1","(NP)","(NP)","1","(NP)","1","(NP)","","","1","Jean-Luc Mélenchon","f","t","","1","abstention","f","f","Vote utile de gauche inefficace. L'abst. médiatisée aurait posé des questions ?","abstention","t","f","t","f","0","18-29","h","superieur","etudiant"
"Voter 35850","","(NP)","(NP)","","(NP)","(NP)","(NP)","","","","","Jean-Luc Mélenchon","t","t","","2","Jean-Luc Mélenchon","f","f","","blanc","","","","","","18-29","h","superieur","etudiant"
"Voter 35851","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","","Benoît Hamon","t","f","","1","Benoît Hamon","f","f","","Emmanuel Macron","","","","","","40-49","f","superieur","public"
"Voter 35852","(NP)","(NP)","","","(NP)","(NP)","(NP)","","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","18-29","h","superieur","etudiant"
"Voter 35853","(NP)","","(NP)","(NP)","","","(NP)","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","","","","","","18-29","h","secondaire","etudiant"
"Voter 35854","(NP)","2","(NP)","(NP)","-1","(NP)","(NP)","2","","","2","Jean-Luc Mélenchon","f","t","Les meilleures compétences sur les questions économique, européenne, historique....","2","Jean-Luc Mélenchon","f","f","","blanc","t","t","t","t","10","40-49","h","secondaire","public"
"Voter 35855","-1","(NP)","(NP)","0","(NP)","(NP)","(NP)","2","","","-2","Jean-Luc Mélenchon","f","t","","1","Benoît Hamon","t","f","","Emmanuel Macron","t","f","t","t","2","30-39","","superieur","public"
"Voter 35856","","(NP)","(NP)","(NP)","","(NP)","","(NP)","","","","Jean-Luc Mélenchon","t","f","","1","Jean-Luc Mélenchon","f","f","","abstention","","","","","","18-29","f","superieur","prive"
"Voter 35857","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","","Benoît Hamon","t","f","","1","Benoît Hamon","f","t","","Emmanuel Macron","","","","","","30-39","f","superieur","prive"
"Voter 35858","","(NP)","(NP)","(NP)","","","(NP)","(NP)","","","","Emmanuel Macron","f","f","C'est le candidat qui me déplaisait le moins.","1","Emmanuel Macron","f","f","","Emmanuel Macron","","","","","","30-39","f","superieur","nspp"
"Voter 35859","","(NP)","(NP)","(NP)","","(NP)","","(NP)","","","","Jean-Luc Mélenchon","f","f","c'est le PROGRAMME qui correspondait le plus à mes idées  mais la personne ne me plait pas","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","30-39","f","superieur","public"
"Voter 35860","2","(NP)","(NP)","1","(NP)","(NP)","(NP)","1","","","1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","t","t","t","t","0","50-59","f","superieur","autre"
"Voter 35861","1","(NP)","(NP)","(NP)","2","(NP)","(NP)","1","","","-2","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","","t","t","t","f","2","18-29","f","superieur","etudiant"
"Voter 35862","2","(NP)","(NP)","(NP)","1","(NP)","(NP)","1","","","-2","abstention","f","f","","2","abstention","f","f","","abstention","t","","","","0","40-49","h","superieur","public"
"Voter 35863","(NP)","(NP)","","","(NP)","(NP)","(NP)","","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","abstention","","","","","","18-29","f","superieur","etudiant"
"Voter 35864","","(NP)","(NP)","","(NP)","(NP)","(NP)","","","","","Emmanuel Macron","f","f","Pas de promesses faites, soucis de protection en parallèle de la dérèglementation libérale","1","Emmanuel Macron","f","f","","blanc","","","","","","40-49","f","superieur","public"
"Voter 35865","","(NP)","","(NP)","(NP)","(NP)","","(NP)","","","","Emmanuel Macron","f","t","","1","Emmanuel Macron","t","f","","Emmanuel Macron","","","","","","18-29","f","superieur","etudiant"
"Voter 35866","1","(NP)","0","(NP)","(NP)","(NP)","(NP)","1","","","-1","Jean-Luc Mélenchon","f","t","","1","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","","t","","7","30-39","h","superieur","public"
"Voter 35867","(NP)","","(NP)","(NP)","","(NP)","","(NP)","","","","Emmanuel Macron","f","t","","2","Emmanuel Macron","f","f","","Emmanuel Macron","","","","","","30-39","f","superieur","public"
"Voter 35868","(NP)","(NP)","1","1","(NP)","(NP)","-1","(NP)","","","-1","Emmanuel Macron","f","t","","1","Emmanuel Macron","t","f","","Emmanuel Macron","t","t","t","t","2","18-29","f","superieur","etudiant"
"Voter 35869","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","","Emmanuel Macron","t","f","","2","Emmanuel Macron","f","f","","Emmanuel Macron","","","","","","18-29","h","superieur","prive"
"Voter 35870","(NP)","1","(NP)","(NP)","1","(NP)","1","(NP)","","","-2","Benoît Hamon","t","f","","1","Jean-Luc Mélenchon","f","t","","Emmanuel Macron","t","t","t","t","3","30-39","h","superieur","public"
"Voter 35871","","(NP)","","(NP)","(NP)","(NP)","","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","abstention","","","","","","18-29","h","superieur","chomage"
"Voter 35872","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","","Emmanuel Macron","t","f","","1","blanc","f","t","","Emmanuel Macron","","","","","","18-29","f","superieur","etudiant"
"Voter 35873","(NP)","(NP)","","","(NP)","","(NP)","(NP)","","","","Emmanuel Macron","f","t","","1","Emmanuel Macron","t","f","","Emmanuel Macron","","","","","","30-39","h","superieur","prive"
"Voter 35874","(NP)","(NP)","1","1","(NP)","(NP)","(NP)","2","","","-1","Emmanuel Macron","f","f","","1","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","5","40-49","f","superieur","public"
"Voter 35875","","(NP)","","(NP)","(NP)","(NP)","","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","","","","","","18-29","f","superieur","etudiant"
"Voter 35876","","(NP)","","(NP)","(NP)","(NP)","","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","30-39","h","superieur","public"
"Voter 35877","(NP)","","(NP)","(NP)","","","(NP)","(NP)","","","","François Fillon","t","f","","2","François Fillon","f","f","","Marine Le Pen","","","","","","18-29","f","secondaire","etudiant"
"Voter 35878","(NP)","(NP)","","","(NP)","","(NP)","(NP)","","","","Marine Le Pen","t","f","","1","Marine Le Pen","f","f","","Marine Le Pen","","","","","","18-29","f","superieur","etudiant"
"Voter 35879","0","(NP)","(NP)","1","(NP)","-1","(NP)","(NP)","","","-1","Emmanuel Macron","f","t","","1","Emmanuel Macron","t","f","","Emmanuel Macron","t","t","t","t","4","30-39","h","superieur","prive"
"Voter 35880","(NP)","(NP)","","","(NP)","(NP)","(NP)","","","","","Benoît Hamon","t","f","","-1","Jean-Luc Mélenchon","f","t","","Emmanuel Macron","","","","","","18-29","f","superieur","etudiant"
"Voter 35881","","(NP)","(NP)","(NP)","","(NP)","","(NP)","","","","Nicolas Dupont-Aignan","t","f","","1","Benoît Hamon","f","t","","Marine Le Pen","","","","","","18-29","h","secondaire","etudiant"
"Voter 35882","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","","Emmanuel Macron","f","t","","2","Emmanuel Macron","f","f","","Emmanuel Macron","","","","","","40-49","f","superieur","public"
"Voter 35883","","(NP)","","(NP)","(NP)","(NP)","(NP)","","","","","Emmanuel Macron","f","f","Par élimination et vote pour le moins ""pire""","2","Emmanuel Macron","f","f","","Emmanuel Macron","","","","","","18-29","f","superieur","etudiant"
"Voter 35884","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","","Emmanuel Macron","t","f","","1","Emmanuel Macron","f","f","Je crains d'avoir été influencée dans mon choix.","Emmanuel Macron","","","","","","18-29","f","superieur","etudiant"
"Voter 35885","","(NP)","","(NP)","(NP)","(NP)","(NP)","","","","","Emmanuel Macron","t","t","","1","Benoît Hamon","t","f","","Emmanuel Macron","","","","","","18-29","f","superieur","etudiant"
"Voter 35886","(NP)","-1","(NP)","(NP)","-1","2","(NP)","(NP)","","","-2","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","t","f","t","t","2","18-29","f","secondaire","etudiant"
"Voter 35887","","(NP)","(NP)","","(NP)","(NP)","","(NP)","","","","Jean-Luc Mélenchon","t","t","","1","blanc","f","f","","Emmanuel Macron","","","","","","18-29","h","superieur","etudiant"
"Voter 35888","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","","Benoît Hamon","t","f","","2","Benoît Hamon","f","f","","abstention","","","","","","30-39","h","superieur","prive"
"Voter 35889","","(NP)","(NP)","(NP)","","","(NP)","(NP)","","","","Benoît Hamon","t","f","","1","Benoît Hamon","f","f","","Emmanuel Macron","","","","","","18-29","h","superieur","etudiant"
"Voter 35890","","(NP)","(NP)","(NP)","","(NP)","(NP)","","","","","Emmanuel Macron","t","f","","2","Emmanuel Macron","f","f","","Emmanuel Macron","","","","","","18-29","f","superieur","etudiant"
"Voter 35891","(NP)","1","(NP)","(NP)","1","-1","(NP)","(NP)","","","1","Emmanuel Macron","f","t","","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","4","40-49","f","superieur","public"
"Voter 35892","(NP)","(NP)","","","(NP)","(NP)","(NP)","","","","","Emmanuel Macron","f","t","","1","Jean Lassalle","t","f","","Emmanuel Macron","","","","","","18-29","f","superieur","prive"
"Voter 35893","1","(NP)","(NP)","(NP)","2","(NP)","(NP)","1","","","-2","non inscrit","f","f","","","","f","f","","non inscrit","t","f","t","t","6","18-29","f","superieur","etudiant"
"Voter 35894","","(NP)","(NP)","(NP)","","","(NP)","(NP)","","","","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","blanc","","","","","","18-29","f","superieur","etudiant"
"Voter 35895","(NP)","","(NP)","(NP)","","","(NP)","(NP)","","","","Philippe Poutou","t","f","","-1","Jean-Luc Mélenchon","f","f","Peut être que JLM n'était pas si éloigné de mes idées finalement","ne se prononce pas","","","","","","18-29","f","superieur","etudiant"
