################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Borda 4.
# Format: CSV with header
#
# Participants were asked to rank exactly 4 candidates. Meaning of the scores:
# 11 = first / 10 = second / 9 = third / 8 = fourth / nothing = not ranked
#
# * Column 1: Voter number
# * Column 2: score of Nathalie Arthaud
# * Column 3: score of François Asselineau
# * Column 4: score of Jacques Cheminade
# * Column 5: score of Nicolas Dupont-Aignan
# * Column 6: score of François Fillon
# * Column 7: score of Benoît Hamon
# * Column 8: score of Jean Lassalle
# * Column 9: score of Marine Le Pen
# * Column 10: score of Emmanuel Macron
# * Column 11: score of Jean-Luc Mélenchon
# * Column 12: score of Philippe Poutou
# * Column 13: vote at the first round of the official election (extracted from the questionnaire)
#
################################################################################
Voter,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou,official vote
Voter 10541,,,,,9,8,,,10,11,,Jean-Luc Mélenchon
Voter 13307,8,,,,,9,,,11,10,,incertitude
Voter 33973,8,,,,,9,,,,10,11,Jean-Luc Mélenchon
Voter 14833,8,,,,,11,,,,9,10,Benoît Hamon
Voter 17693,,,9,,,11,,,8,10,,Jean-Luc Mélenchon
Voter 23886,,,,,10,9,8,,11,,,Emmanuel Macron
Voter 16122,,,,,,,10,,11,9,8,Emmanuel Macron
Voter 505,9,,,,,8,,,,10,11,Philippe Poutou
Voter 14657,8,,,,,10,,,,11,9,Jean-Luc Mélenchon
Voter 30745,,9,,,,10,,,,11,8,Jean-Luc Mélenchon
Voter 28321,,,,,11,10,,,9,8,,François Fillon
Voter 24916,,,8,9,,,,10,,11,,Jean-Luc Mélenchon
Voter 28346,,,,,,11,,,9,10,8,Jean-Luc Mélenchon
Voter 21247,,,10,,,11,,,,9,8,Benoît Hamon
Voter 10442,,,,,11,8,,,10,9,,François Fillon
Voter 26632,,9,,10,8,,,11,,,,Marine Le Pen
Voter 18365,,,,,,11,,,8,10,9,Benoît Hamon
Voter 28502,,,,11,8,,,,10,9,,blanc
Voter 27924,,9,,10,,8,,,11,,,ne se prononce pas
Voter 28931,,,,8,,9,,,11,10,,Emmanuel Macron
Voter 24052,,,9,8,10,,,11,,,,François Fillon
Voter 25522,9,,,,,8,,,,11,10,Jean-Luc Mélenchon
Voter 6328,,,,8,,10,,,9,11,,Emmanuel Macron
Voter 13951,,,11,,,8,,,10,9,,Jacques Cheminade
Voter 4154,,,,,,9,,,10,11,8,Jean-Luc Mélenchon
Voter 10794,,8,,,10,,,,9,11,,abstention
Voter 21463,,,,,,10,9,,11,,8,Emmanuel Macron
Voter 6334,,,,8,10,,9,,11,,,Emmanuel Macron
Voter 11211,8,,,,,9,,,,11,10,non inscrit
Voter 12916,,,9,,,11,,,8,10,,Jean-Luc Mélenchon
Voter 7042,,,,,10,,,8,11,9,,Emmanuel Macron
Voter 12768,,,,,9,10,,,11,8,,Emmanuel Macron
Voter 17431,,,10,9,,,,,11,8,,Emmanuel Macron
Voter 29321,8,,,,,10,,,,11,9,Jean-Luc Mélenchon
Voter 26773,11,8,,,,,,,,9,10,Jean-Luc Mélenchon
Voter 17522,8,,,,,10,,,,11,9,Jean-Luc Mélenchon
Voter 28480,,,,8,10,9,,,11,,,Emmanuel Macron
Voter 28759,,,,,,11,,,8,10,9,Benoît Hamon
Voter 16850,,,,,,10,,,8,11,9,incertitude
Voter 18654,8,,,,,11,,,,10,9,Benoît Hamon
Voter 7267,,,,,10,9,,,11,8,,Emmanuel Macron
Voter 9112,8,,,,,9,,,,11,10,Philippe Poutou
Voter 26623,,,,8,10,9,,,11,,,Emmanuel Macron
Voter 1406,11,,,,,8,,,,9,10,abstention
Voter 7079,,,,,,10,,,9,11,8,Jean-Luc Mélenchon
Voter 4719,,,8,,,10,,,9,11,,Jean-Luc Mélenchon
Voter 9951,8,,,,,10,,,,11,9,Jean-Luc Mélenchon
Voter 4695,10,,,,,9,8,,,11,,Jean-Luc Mélenchon
Voter 34336,,,8,,,11,,,,10,9,Benoît Hamon
Voter 27084,,8,,,,10,,,9,11,,Jean-Luc Mélenchon
Voter 16152,,,,,,11,,,10,9,8,Benoît Hamon
Voter 5703,,,,,,10,8,,9,11,,Jean-Luc Mélenchon
Voter 14829,8,,,,,10,,,,11,9,Benoît Hamon
Voter 13407,,,,,,9,8,,11,10,,Emmanuel Macron
Voter 12189,,,9,,,10,8,,,11,,Jean-Luc Mélenchon
Voter 13521,10,,,,,11,,,,8,9,Benoît Hamon
Voter 7999,,,,,10,9,,,11,8,,Emmanuel Macron
