################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Questionnaire.
# Format: CSV with header
#
# The questionnaire filled-in by the participants at the end of the experiment (version
# proposed to the participants before the first round of the official election)
# For most questions, the participants were free not to answer at all (empty value)
# or explicitly they do not want to answer (value "nspp").
#
# * Column 1: Voter number
# * Colums 2-12: Appreciation of voting methods (-2, -1, 0, 1, 2) (NP) means that the
#   voter did not test this method. No value means that the voter did not answer.
#   - Column 2: Approval
#   - Column 3: Evaluation 0/1/2
#   - Column 4: Evaluation 0/1/2/3
#   - Column 5: Evaluation -1/0/1/2
#   - Column 6: Evaluation -1/0/1
#   - Column 7: Borda 4
#   - Column 8: STV 4-11
#   - Column 9: STV 1-11
#   - Column 10: Evaluation Continuous
#   - Column 11: Condorcet
#   - Column 12: two round majority
# * Column 13: what do you plan to do at the first round of the official election?
#   (vote for candidate X / blanc = blank / abstention = abstain / ni = I do not have the right to vote / nspp)
# * Column 14: vote is a right (t = yes / f = no)
# * Column 15: vote is a duty (t = yes / f = no)
# * Column 16: vote is a chance (t = yes / f = no)
# * Column 17: vote is useful (t = yes / f = no)
# * Column 18: evaluate your position on a left / right axis (0 = left ... 10 = right)
# * Column 19: age group (18-29, 30-39, 40-49, 50-59, 60-69, 70)
# * Column 20: gender (h = male / f = female)
# * Column 21: level of education (primaire = basic / secondaire = intermediate / superieur = higher)
# * Column 22: socio-professional category (liberal = "profession libérale", approximately self-employed
#   independent profession / prive = employee in the private sector /
#   public = employee in the public sector / chomage = unemployed / etudiant = student / autre = other)
#
################################################################################
Voter,Appreciation Approval,Appreciation Evaluation 0/1/2,Appreciation Evaluation 0/1/2/3,Appreciation Evaluation -1/0/1/2,Appreciation Evaluation -1/0/1,Appreciation Borda 4,Appreciation STV 4-11,Appreciation STV 1-11,Appreciation Evaluation Continuous,Appreciation Condorcet,Appreciation two round majority,official vote,vote is a right,vote is a duty,vote is a chance,vote is useful,left right,age,gender,studies,socioprofessional
Voter 119,-1,(NP),1,(NP),(NP),1,(NP),(NP),,,1,Benoît Hamon,t,t,t,t,2,50-59,h,superieur,public
Voter 120,,(NP),,(NP),(NP),,(NP),(NP),,,,Jean-Luc Mélenchon,,,,,,,,,
Voter 121,(NP),1,(NP),(NP),2,(NP),-1,(NP),,,-1,Benoît Hamon,t,f,t,f,1,18-29,f,superieur,public
Voter 122,-2,(NP),(NP),-2,(NP),(NP),0,(NP),,,1,Emmanuel Macron,t,t,t,t,3,40-49,h,superieur,public
Voter 123,(NP),1,(NP),(NP),2,(NP),1,(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,2,18-29,f,superieur,public
Voter 124,-1,(NP),1,(NP),(NP),2,(NP),(NP),,,-1,incertitude,t,f,t,t,3,30-39,f,superieur,public
Voter 125,(NP),(NP),0,1,(NP),(NP),1,(NP),,,1,Philippe Poutou,t,t,,t,3,18-29,f,superieur,prive
Voter 126,1,(NP),(NP),1,(NP),(NP),-1,(NP),,,-1,Nicolas Dupont-Aignan,t,f,t,t,5,30-39,h,superieur,public
Voter 127,(NP),(NP),1,1,(NP),(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,t,,t,1,18-29,f,superieur,public
Voter 128,(NP),-2,(NP),(NP),-1,(NP),(NP),-2,,,1,Emmanuel Macron,t,t,t,t,6,18-29,h,superieur,prive
Voter 129,-2,(NP),(NP),(NP),-2,1,(NP),(NP),,,2,blanc,t,t,t,f,5,30-39,h,superieur,prive
Voter 130,(NP),,(NP),(NP),,,(NP),(NP),,,-2,Jean-Luc Mélenchon,,,,,,40-49,h,superieur,public
Voter 131,,(NP),(NP),(NP),,(NP),(NP),,,,,Benoît Hamon,t,t,t,t,6,30-39,h,superieur,prive
Voter 132,(NP),1,(NP),(NP),1,(NP),2,(NP),,,-1,Benoît Hamon,t,t,t,t,3,18-29,h,superieur,public
Voter 133,1,(NP),(NP),1,(NP),(NP),2,(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,2,18-29,h,superieur,public
Voter 134,(NP),1,(NP),(NP),-1,2,(NP),(NP),,,1,Jean-Luc Mélenchon,t,t,t,t,4,30-39,h,secondaire,public
Voter 135,2,(NP),0,(NP),(NP),(NP),2,(NP),,,-1,Emmanuel Macron,t,t,t,t,3,50-59,h,superieur,public
Voter 136,1,(NP),2,(NP),(NP),0,(NP),(NP),,,1,incertitude,t,t,t,,4,40-49,f,secondaire,prive
Voter 137,1,(NP),(NP),-1,(NP),(NP),(NP),1,,,-2,Jacques Cheminade,t,t,t,f,3,30-39,h,superieur,public
Voter 138,1,(NP),(NP),0,(NP),(NP),1,(NP),,,-1,Benoît Hamon,t,t,t,f,2,18-29,h,superieur,etudiant
Voter 139,1,(NP),2,(NP),(NP),(NP),(NP),1,,,-1,Benoît Hamon,t,t,t,f,2,40-49,h,superieur,liberal
Voter 140,(NP),0,(NP),(NP),0,1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,f,f,f,9,18-29,h,superieur,public
Voter 141,1,(NP),1,(NP),(NP),(NP),1,(NP),,,-1,Benoît Hamon,t,t,t,t,2,18-29,f,superieur,etudiant
Voter 142,(NP),1,(NP),(NP),1,2,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,f,f,t,0,18-29,f,superieur,public
Voter 143,-2,(NP),(NP),(NP),-2,-2,(NP),(NP),,,-2,Marine Le Pen,t,t,f,f,10,18-29,h,superieur,public
Voter 144,(NP),(NP),2,1,(NP),1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,f,t,f,3,18-29,h,superieur,etudiant
Voter 145,(NP),(NP),0,0,(NP),(NP),(NP),0,,,,Benoît Hamon,,t,,,5,30-39,h,superieur,chomage
Voter 146,(NP),-1,(NP),(NP),0,(NP),(NP),1,,,-2,Benoît Hamon,t,t,t,,2,18-29,f,superieur,prive
Voter 147,(NP),(NP),2,2,(NP),(NP),(NP),2,,,-2,Jean-Luc Mélenchon,t,t,t,t,1,30-39,nspp,superieur,public
Voter 148,1,(NP),(NP),-2,(NP),(NP),(NP),2,,,-1,blanc,t,t,t,f,5,18-29,f,superieur,prive
Voter 149,1,(NP),(NP),1,(NP),1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,3,60-69,h,superieur,public
Voter 150,1,(NP),-1,(NP),(NP),(NP),(NP),0,,,-1,Benoît Hamon,t,t,t,t,2,40-49,h,superieur,public
Voter 151,-1,(NP),(NP),1,(NP),(NP),(NP),2,,,0,Benoît Hamon,t,t,t,t,3,18-29,h,superieur,public
Voter 152,(NP),(NP),0,0,(NP),(NP),-1,(NP),,,-1,ne se prononce pas,f,t,t,t,3,18-29,h,superieur,prive
Voter 153,(NP),-1,(NP),(NP),1,2,(NP),(NP),,,-2,Benoît Hamon,t,f,t,f,3,18-29,f,superieur,prive
Voter 154,(NP),1,(NP),(NP),-1,(NP),(NP),1,,,1,incertitude,,,,t,5,50-59,f,superieur,prive
Voter 155,(NP),0,(NP),(NP),-2,2,(NP),(NP),,,0,Benoît Hamon,t,t,f,t,3,18-29,h,superieur,etudiant
Voter 156,(NP),0,(NP),(NP),2,(NP),(NP),0,,,-1,Jean-Luc Mélenchon,t,t,t,f,2,50-59,h,superieur,public
Voter 157,(NP),(NP),0,1,(NP),-1,(NP),(NP),,,-1,Emmanuel Macron,t,t,t,t,3,40-49,f,superieur,public
Voter 158,(NP),1,(NP),(NP),0,(NP),(NP),2,,,-1,incertitude,t,t,t,f,8,18-29,h,superieur,prive
Voter 159,(NP),-1,(NP),(NP),1,(NP),(NP),-2,,,-2,Emmanuel Macron,t,t,t,t,4,18-29,h,superieur,prive
Voter 160,-1,(NP),-1,(NP),(NP),(NP),(NP),0,,,,Jean-Luc Mélenchon,t,,,,,18-29,h,superieur,nspp
Voter 161,(NP),1,(NP),(NP),1,(NP),(NP),2,,,1,Jean-Luc Mélenchon,t,t,t,t,1,18-29,f,superieur,etudiant
Voter 162,0,(NP),1,(NP),(NP),(NP),(NP),-1,,,-2,Benoît Hamon,t,f,t,t,3,18-29,h,superieur,autre
Voter 163,(NP),(NP),2,2,(NP),2,(NP),(NP),,,,Benoît Hamon,t,t,t,t,2,50-59,h,superieur,public
Voter 164,(NP),(NP),-1,-1,(NP),-1,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,3,60-69,h,superieur,public
Voter 165,2,(NP),1,(NP),(NP),1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,8,18-29,h,superieur,etudiant
Voter 166,(NP),(NP),,,(NP),(NP),(NP),,,,,Benoît Hamon,,t,,,3,30-39,h,superieur,public
Voter 167,0,(NP),(NP),(NP),0,(NP),0,(NP),,,-2,Jean-Luc Mélenchon,f,f,t,f,2,30-39,f,superieur,prive
Voter 168,0,(NP),1,(NP),(NP),0,(NP),(NP),,,-1,Benoît Hamon,t,f,t,t,4,18-29,nspp,superieur,public
Voter 169,(NP),(NP),1,1,(NP),(NP),0,(NP),,,-1,Benoît Hamon,t,t,t,t,3,30-39,h,superieur,prive
Voter 170,-1,(NP),-1,(NP),(NP),(NP),1,(NP),,,-2,Jean-Luc Mélenchon,t,t,,,2,18-29,h,superieur,etudiant
Voter 171,1,(NP),(NP),1,(NP),(NP),0,(NP),,,-1,Benoît Hamon,t,t,,,2,50-59,f,superieur,public
Voter 172,(NP),,(NP),(NP),,,(NP),(NP),,,,Benoît Hamon,t,t,t,t,3,50-59,f,superieur,public
Voter 173,(NP),1,(NP),(NP),1,(NP),(NP),1,,,-2,Jean-Luc Mélenchon,t,,t,,0,50-59,h,superieur,public
Voter 174,2,(NP),1,(NP),(NP),(NP),0,(NP),,,-2,blanc,t,t,t,t,4,30-39,h,superieur,public
Voter 175,-1,(NP),(NP),2,(NP),(NP),0,(NP),,,-1,Emmanuel Macron,,t,,,3,60-69,h,superieur,retraite
Voter 176,(NP),1,(NP),(NP),-2,1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,f,t,t,1,30-39,h,superieur,public
Voter 177,1,(NP),(NP),1,(NP),(NP),-1,(NP),,,-2,Jean-Luc Mélenchon,t,f,f,t,1,30-39,h,superieur,prive
Voter 178,,(NP),(NP),,(NP),1,(NP),(NP),,,0,Emmanuel Macron,t,t,,t,2,18-29,h,superieur,etudiant
Voter 179,1,(NP),(NP),(NP),-2,(NP),(NP),1,,,1,Emmanuel Macron,t,f,t,t,5,30-39,h,superieur,prive
Voter 180,(NP),(NP),1,1,(NP),2,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,1,18-29,h,superieur,public
Voter 181,-1,(NP),(NP),(NP),-1,-1,(NP),(NP),,,-1,Benoît Hamon,t,t,t,t,2,30-39,h,superieur,public
Voter 182,1,(NP),(NP),1,(NP),(NP),(NP),-1,,,-2,Jean-Luc Mélenchon,t,t,f,f,1,18-29,h,superieur,prive
Voter 183,(NP),(NP),-1,1,(NP),(NP),2,(NP),,,-1,Jean-Luc Mélenchon,t,t,f,f,1,18-29,h,superieur,prive
Voter 184,1,(NP),(NP),(NP),1,(NP),2,(NP),,,-1,Benoît Hamon,f,t,t,t,2,18-29,h,superieur,prive
Voter 185,(NP),(NP),-2,1,(NP),(NP),(NP),1,,,1,Jean-Luc Mélenchon,t,t,t,t,0,18-29,f,secondaire,public
Voter 186,-1,(NP),(NP),(NP),-2,(NP),(NP),1,,,-2,Emmanuel Macron,t,t,t,t,2,40-49,f,superieur,public
Voter 187,1,(NP),(NP),0,(NP),(NP),(NP),1,,,-1,incertitude,t,t,t,t,4,18-29,f,superieur,prive
Voter 188,0,(NP),0,(NP),(NP),(NP),0,(NP),,,1,Emmanuel Macron,t,f,t,,2,60-69,h,superieur,public
Voter 189,(NP),(NP),0,0,(NP),1,(NP),(NP),,,-1,Emmanuel Macron,f,t,t,t,5,18-29,h,superieur,
Voter 190,2,(NP),0,(NP),(NP),0,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,f,t,t,3,30-39,h,superieur,public
Voter 191,(NP),(NP),0,0,(NP),0,(NP),(NP),,,1,Emmanuel Macron,t,t,t,t,5,60-69,h,superieur,public
Voter 192,1,(NP),(NP),(NP),0,(NP),(NP),1,,,-1,Emmanuel Macron,t,t,t,t,4,30-39,h,superieur,public
Voter 193,(NP),(NP),1,1,(NP),(NP),(NP),1,,,1,François Fillon,t,t,t,t,10,30-39,f,superieur,prive
Voter 194,(NP),2,(NP),(NP),1,2,(NP),(NP),,,-1,Benoît Hamon,t,t,t,t,3,40-49,f,superieur,public
Voter 195,(NP),(NP),,,(NP),,(NP),(NP),,,,incertitude,t,t,t,t,3,50-59,h,,public
Voter 196,0,(NP),(NP),(NP),-1,1,(NP),(NP),,,-1,Benoît Hamon,t,f,t,t,2,18-29,f,superieur,etudiant
Voter 197,(NP),0,(NP),(NP),0,(NP),(NP),2,,,-1,Jean-Luc Mélenchon,t,t,t,f,2,18-29,h,superieur,etudiant
Voter 198,2,(NP),(NP),(NP),1,0,(NP),(NP),,,-1,Emmanuel Macron,t,t,t,t,4,40-49,f,superieur,public
Voter 199,1,(NP),(NP),(NP),0,(NP),2,(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,1,18-29,f,superieur,public
Voter 200,(NP),-2,(NP),(NP),-2,(NP),(NP),1,,,-2,blanc,,,,t,4,50-59,f,superieur,public
Voter 201,(NP),-1,(NP),(NP),-1,(NP),(NP),1,,,0,Jean-Luc Mélenchon,t,t,t,t,2,30-39,h,superieur,prive
Voter 202,0,(NP),(NP),1,(NP),1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,4,18-29,h,superieur,etudiant
Voter 203,0,(NP),(NP),0,(NP),0,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,4,18-29,h,superieur,prive
Voter 204,(NP),1,(NP),(NP),1,2,(NP),(NP),,,1,Jean-Luc Mélenchon,t,,t,,2,18-29,h,superieur,autre
Voter 205,(NP),(NP),0,0,(NP),(NP),(NP),0,,,-2,Nicolas Dupont-Aignan,t,t,t,t,4,50-59,h,superieur,public
Voter 206,(NP),(NP),-2,-1,(NP),(NP),(NP),1,,,-2,Benoît Hamon,t,,t,f,3,18-29,f,superieur,public
Voter 207,-1,(NP),(NP),,(NP),-1,(NP),(NP),,,-1,Benoît Hamon,,t,,,1,40-49,f,superieur,public
Voter 208,1,(NP),(NP),-1,(NP),(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,t,t,t,1,18-29,f,superieur,etudiant
Voter 209,(NP),(NP),1,2,(NP),(NP),-1,(NP),,,1,Jean-Luc Mélenchon,t,f,t,t,5,18-29,h,superieur,etudiant
Voter 210,-2,(NP),(NP),-2,(NP),(NP),-2,(NP),,,1,Emmanuel Macron,t,f,t,t,4,30-39,h,superieur,public
Voter 211,1,(NP),(NP),(NP),1,1,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,1,30-39,h,superieur,prive
Voter 212,1,(NP),(NP),(NP),0,2,(NP),(NP),,,-2,Benoît Hamon,t,t,t,f,3,30-39,h,superieur,prive
Voter 213,1,(NP),-2,(NP),(NP),(NP),(NP),0,,,1,Emmanuel Macron,t,t,t,,3,50-59,h,superieur,prive
Voter 214,0,(NP),-1,(NP),(NP),(NP),2,(NP),,,,Jean-Luc Mélenchon,t,t,t,t,5,18-29,f,superieur,etudiant
Voter 215,1,(NP),-1,(NP),(NP),(NP),(NP),1,,,0,,t,t,t,f,1,30-39,h,superieur,public
Voter 216,-2,(NP),(NP),1,(NP),(NP),(NP),0,,,0,blanc,t,t,t,t,3,18-29,h,superieur,etudiant
Voter 217,(NP),1,(NP),(NP),1,1,(NP),(NP),,,-2,Benoît Hamon,t,t,t,t,2,nspp,f,superieur,public
Voter 218,(NP),2,(NP),(NP),2,(NP),2,(NP),,,-2,Jean-Luc Mélenchon,t,t,t,,4,40-49,h,superieur,public
Voter 219,0,(NP),(NP),(NP),1,(NP),(NP),1,,,0,incertitude,t,t,t,t,5,18-29,h,superieur,prive
Voter 220,(NP),(NP),0,1,(NP),(NP),1,(NP),,,-1,Benoît Hamon,t,t,t,t,2,18-29,f,superieur,etudiant
Voter 221,(NP),(NP),0,2,(NP),2,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,t,t,f,1,18-29,h,superieur,public
Voter 222,0,(NP),0,(NP),(NP),(NP),0,(NP),,,0,abstention,t,f,f,f,0,18-29,f,superieur,public
Voter 223,(NP),(NP),1,1,(NP),(NP),1,(NP),,,1,Emmanuel Macron,t,f,,,3,30-39,h,superieur,prive
Voter 224,(NP),-2,(NP),(NP),-1,(NP),(NP),-2,,,-2,Jean-Luc Mélenchon,t,f,t,f,3,30-39,h,superieur,public
Voter 225,,(NP),(NP),,(NP),(NP),(NP),,,,,,,,,,,30-39,h,superieur,public
Voter 226,-1,(NP),(NP),1,(NP),(NP),(NP),1,,,-2,Jean-Luc Mélenchon,t,t,t,t,0,40-49,f,superieur,public
Voter 227,(NP),(NP),0,0,(NP),(NP),(NP),0,,,1,Emmanuel Macron,t,f,t,t,7,18-29,h,superieur,etudiant
Voter 228,(NP),,(NP),(NP),,,(NP),(NP),,,,,,,,,,,,,
Voter 229,1,(NP),0,(NP),(NP),1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,f,f,t,1,18-29,h,superieur,public
Voter 230,(NP),1,(NP),(NP),1,(NP),(NP),-1,,,-1,Emmanuel Macron,t,,t,,3,30-39,f,superieur,prive
Voter 231,(NP),(NP),1,1,(NP),-1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,1,18-29,h,superieur,etudiant
Voter 232,1,(NP),(NP),(NP),0,(NP),(NP),-1,,,1,incertitude,t,t,t,t,3,40-49,f,superieur,public
Voter 233,1,(NP),(NP),0,(NP),(NP),1,(NP),,,0,Benoît Hamon,t,t,t,t,3,18-29,h,superieur,chomage
Voter 234,(NP),(NP),0,1,(NP),0,(NP),(NP),,,0,Benoît Hamon,t,t,t,t,4,18-29,h,superieur,prive
Voter 235,1,(NP),(NP),(NP),-2,(NP),(NP),-2,,,1,Emmanuel Macron,t,t,t,,4,60-69,h,superieur,public
Voter 236,-1,(NP),-1,(NP),(NP),(NP),-1,(NP),,,-2,abstention,f,f,f,f,0,18-29,h,superieur,etudiant
Voter 237,1,(NP),(NP),-1,(NP),1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,t,t,,2,18-29,h,superieur,public
Voter 238,(NP),-1,(NP),(NP),1,(NP),2,(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,1,30-39,h,superieur,public
Voter 239,0,(NP),0,(NP),(NP),(NP),0,(NP),,,-2,abstention,t,f,t,t,0,18-29,h,superieur,public
Voter 240,(NP),0,(NP),(NP),0,1,(NP),(NP),,,-1,Benoît Hamon,t,t,t,t,2,18-29,h,superieur,public
Voter 241,(NP),(NP),2,1,(NP),(NP),(NP),0,,,1,Jean-Luc Mélenchon,t,f,t,t,2,18-29,h,superieur,public
Voter 242,(NP),2,(NP),(NP),2,(NP),(NP),1,,,2,Emmanuel Macron,t,t,t,,5,nspp,nspp,nspp,nspp
Voter 243,(NP),(NP),0,0,(NP),(NP),0,(NP),,,0,Emmanuel Macron,t,t,f,t,5,30-39,h,superieur,autre
Voter 244,1,(NP),-1,(NP),(NP),2,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,0,18-29,h,superieur,autre
Voter 245,2,(NP),1,(NP),(NP),0,(NP),(NP),,,,Benoît Hamon,t,t,t,t,2,40-49,h,superieur,public
Voter 246,1,(NP),(NP),1,(NP),(NP),(NP),-1,,,-2,abstention,t,f,t,f,1,18-29,h,superieur,chomage
Voter 247,0,(NP),(NP),1,(NP),(NP),0,(NP),,,1,Emmanuel Macron,t,t,t,t,5,18-29,h,superieur,prive
Voter 248,2,(NP),(NP),1,(NP),(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,f,t,t,2,30-39,h,secondaire,public
Voter 249,1,(NP),(NP),-1,(NP),(NP),2,(NP),,,1,Emmanuel Macron,t,t,t,t,5,40-49,h,superieur,public
Voter 250,(NP),(NP),-1,-1,(NP),(NP),-1,(NP),,,-2,incertitude,t,t,t,t,3,40-49,f,superieur,public
Voter 251,1,(NP),1,(NP),(NP),(NP),1,(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,2,30-39,f,superieur,etudiant
Voter 252,(NP),(NP),,,(NP),(NP),(NP),,,,1,Emmanuel Macron,t,t,t,t,5,50-59,f,nspp,nspp
Voter 253,0,(NP),-1,(NP),(NP),(NP),1,(NP),,,1,Jean-Luc Mélenchon,t,t,t,t,3,60-69,h,superieur,retraite
Voter 254,1,(NP),1,(NP),(NP),1,(NP),(NP),,,-1,Benoît Hamon,t,t,t,t,2,40-49,f,superieur,public
Voter 255,(NP),0,(NP),(NP),0,(NP),1,(NP),,,-2,Jean-Luc Mélenchon,t,f,t,t,2,18-29,h,superieur,chomage
Voter 256,,(NP),,(NP),(NP),,(NP),(NP),,,,,,,,,,,,,
Voter 257,0,(NP),(NP),2,(NP),1,(NP),(NP),,,-2,Benoît Hamon,t,f,t,t,2,18-29,h,superieur,prive
Voter 258,-1,(NP),(NP),(NP),1,-1,(NP),(NP),,,-1,Philippe Poutou,t,f,t,t,1,30-39,h,superieur,public
Voter 259,(NP),(NP),1,1,(NP),(NP),(NP),2,,,-1,Benoît Hamon,t,f,t,t,5,18-29,h,superieur,public
Voter 260,(NP),-1,(NP),(NP),-1,(NP),(NP),1,,,0,Jean-Luc Mélenchon,t,t,t,t,2,30-39,h,superieur,public
Voter 261,1,(NP),(NP),(NP),1,(NP),(NP),2,,,0,Benoît Hamon,t,f,t,f,4,18-29,h,superieur,prive
Voter 262,0,(NP),(NP),1,(NP),1,(NP),(NP),,,-1,abstention,t,f,f,f,1,50-59,h,superieur,public
Voter 263,(NP),(NP),0,0,(NP),(NP),(NP),1,,,-2,Benoît Hamon,,,t,,1,30-39,f,superieur,public
Voter 264,1,(NP),(NP),(NP),1,(NP),2,(NP),,,-1,Benoît Hamon,t,t,t,t,3,18-29,h,superieur,public
Voter 265,-1,(NP),(NP),(NP),-2,-1,(NP),(NP),,,1,incertitude,t,f,t,t,2,18-29,h,superieur,public
Voter 266,(NP),(NP),2,1,(NP),(NP),0,(NP),,,-1,Benoît Hamon,t,t,t,t,3,30-39,h,superieur,public
Voter 267,1,(NP),(NP),1,(NP),(NP),(NP),0,,,-2,incertitude,t,f,t,t,2,50-59,h,superieur,public
Voter 268,(NP),(NP),0,0,(NP),(NP),1,(NP),,,-2,Emmanuel Macron,t,f,t,t,4,30-39,f,superieur,prive
Voter 269,(NP),0,(NP),(NP),0,0,(NP),(NP),,,0,ne se prononce pas,t,,,,5,nspp,nspp,nspp,nspp
Voter 270,(NP),1,(NP),(NP),1,-1,(NP),(NP),,,-1,incertitude,t,t,f,f,7,30-39,f,superieur,prive
Voter 271,1,(NP),(NP),-1,(NP),(NP),(NP),2,,,-1,François Asselineau,t,t,t,t,5,30-39,h,superieur,public
Voter 272,(NP),(NP),,,(NP),(NP),(NP),,,,,incertitude,t,t,t,t,4,30-39,f,superieur,liberal
Voter 273,0,(NP),1,(NP),(NP),(NP),(NP),2,,,-2,Benoît Hamon,t,t,t,t,1,50-59,f,superieur,public
Voter 274,1,(NP),(NP),1,(NP),(NP),1,(NP),,,-1,Benoît Hamon,t,,t,t,2,40-49,h,superieur,public
Voter 275,,(NP),,(NP),(NP),(NP),(NP),,,,2,Emmanuel Macron,t,t,t,t,3,40-49,f,superieur,public
Voter 276,1,(NP),-1,(NP),(NP),1,(NP),(NP),,,-1,Benoît Hamon,t,f,t,t,1,18-29,h,superieur,prive
Voter 277,-1,(NP),(NP),2,(NP),(NP),(NP),1,,,0,Emmanuel Macron,t,t,t,t,2,30-39,h,superieur,public
Voter 278,1,(NP),1,(NP),(NP),(NP),2,(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,3,30-39,h,superieur,prive
Voter 279,1,(NP),(NP),-1,(NP),(NP),-2,(NP),,,-2,Benoît Hamon,t,t,f,f,2,30-39,nspp,superieur,autre
Voter 280,(NP),1,(NP),(NP),1,(NP),-2,(NP),,,0,incertitude,t,t,t,t,4,18-29,f,superieur,public
Voter 281,(NP),1,(NP),(NP),1,(NP),1,(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,2,18-29,f,superieur,prive
Voter 282,-2,(NP),(NP),(NP),-2,(NP),(NP),1,,,,François Fillon,t,t,t,t,8,18-29,h,superieur,etudiant
Voter 283,1,(NP),(NP),2,(NP),(NP),(NP),1,,,-1,abstention,t,f,f,f,1,18-29,h,superieur,public
Voter 284,2,(NP),-2,(NP),(NP),-2,(NP),(NP),,,0,Jean-Luc Mélenchon,t,t,t,f,0,18-29,h,superieur,prive
Voter 285,,(NP),(NP),,(NP),,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,t,t,,1,30-39,f,superieur,public
Voter 286,(NP),(NP),,,(NP),(NP),(NP),,,,1,Emmanuel Macron,t,t,t,t,5,nspp,nspp,nspp,nspp
Voter 287,2,(NP),(NP),-1,(NP),(NP),1,(NP),,,-1,Jean-Luc Mélenchon,t,,t,f,0,40-49,h,superieur,liberal
Voter 288,0,(NP),(NP),0,(NP),(NP),0,(NP),,,-1,Philippe Poutou,t,t,,,0,30-39,f,superieur,public
Voter 289,-1,(NP),(NP),(NP),1,1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,f,t,,5,18-29,h,secondaire,prive
Voter 290,1,(NP),-1,(NP),(NP),1,(NP),(NP),,,-1,,t,f,t,t,4,18-29,h,superieur,prive
Voter 291,0,(NP),(NP),(NP),0,2,(NP),(NP),,,1,Emmanuel Macron,t,t,t,t,4,18-29,nspp,superieur,etudiant
Voter 292,1,(NP),(NP),(NP),1,-1,(NP),(NP),,,-1,incertitude,t,f,t,f,2,50-59,f,superieur,public
Voter 293,1,(NP),(NP),1,(NP),(NP),1,(NP),,,0,François Fillon,t,t,t,t,9,18-29,h,superieur,etudiant
Voter 294,0,(NP),(NP),(NP),0,-1,(NP),(NP),,,-2,abstention,t,f,f,t,4,18-29,h,superieur,public
Voter 295,(NP),(NP),2,1,(NP),(NP),1,(NP),,,-1,Benoît Hamon,t,t,t,t,2,40-49,h,superieur,public
Voter 296,2,(NP),(NP),-2,(NP),-2,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,t,t,f,1,18-29,h,superieur,prive
Voter 297,(NP),1,(NP),(NP),1,(NP),(NP),0,,,-2,Benoît Hamon,t,t,t,t,1,40-49,h,superieur,public
Voter 298,-1,(NP),(NP),(NP),1,(NP),-2,(NP),,,-1,Jean-Luc Mélenchon,t,f,f,f,,nspp,nspp,nspp,nspp
Voter 299,(NP),(NP),,,(NP),(NP),(NP),,,,,Jean-Luc Mélenchon,t,f,t,t,5,18-29,h,superieur,public
