################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Evaluation Voting 0/1/2/3.
# Format: CSV with header
#
# Participants were asked to give a score to each candidate, on the scale (0,1,2,3).
# If the score is empty, it means that the voter did not evaluate the candidate (means
# the least score).
#
# * Column 1: Voter number
# * Column 2: score of Nathalie Arthaud
# * Column 3: score of François Asselineau
# * Column 4: score of Jacques Cheminade
# * Column 5: score of Nicolas Dupont-Aignan
# * Column 6: score of François Fillon
# * Column 7: score of Benoît Hamon
# * Column 8: score of Jean Lassalle
# * Column 9: score of Marine Le Pen
# * Column 10: score of Emmanuel Macron
# * Column 11: score of Jean-Luc Mélenchon
# * Column 12: score of Philippe Poutou
# * Column 13: vote at the first round of the official election (extracted from the questionnaire)
#
################################################################################
Voter,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou,official vote
Voter 10541,1,,,2,2,1,,1,2,3,1,Jean-Luc Mélenchon
Voter 10279,,,,,,3,,,1,1,1,Benoît Hamon
Voter 15699,2,0,1,0,0,3,1,0,0,3,3,incertitude
Voter 2634,2,,,1,,,,,,3,2,Jean-Luc Mélenchon
Voter 3817,0,0,0,0,0,3,0,0,2,3,0,Benoît Hamon
Voter 2447,,,,,,2,,0,,3,,Jean-Luc Mélenchon
Voter 3979,0,0,0,0,0,0,0,0,3,1,0,Emmanuel Macron
Voter 27055,0,0,0,0,3,1,1,0,3,0,0,incertitude
Voter 22662,1,3,1,1,0,2,1,0,0,2,1,incertitude
Voter 14657,1,0,0,0,0,2,0,0,0,3,3,Jean-Luc Mélenchon
Voter 3312,0,0,0,0,0,1,0,0,1,2,0,incertitude
Voter 30745,0,1,0,1,0,1,1,0,0,3,1,Jean-Luc Mélenchon
Voter 28321,0,0,0,0,3,3,0,0,2,2,0,François Fillon
Voter 24072,,,,2,2,,,2,3,,,Emmanuel Macron
Voter 8463,1,0,1,0,0,3,0,0,3,2,1,Benoît Hamon
Voter 10442,0,0,0,0,3,0,0,0,1,0,0,François Fillon
Voter 33994,1,1,1,0,0,3,0,0,0,2,2,Benoît Hamon
Voter 24777,,2,2,,,3,1,,1,1,1,Benoît Hamon
Voter 26632,,,,3,1,,,3,,,,Marine Le Pen
Voter 5766,1,0,0,0,0,3,0,0,2,2,1,Benoît Hamon
Voter 14678,1,2,,,,2,,,1,3,1,Jean-Luc Mélenchon
Voter 24052,0,2,3,3,3,0,1,3,2,0,0,François Fillon
Voter 13827,,,,,1,1,3,,1,,,Jean Lassalle
Voter 6328,0,0,0,1,0,2,0,0,2,3,0,Emmanuel Macron
Voter 12363,,,,2,3,,,2,1,,,François Fillon
Voter 29451,0,0,0,0,1,1,0,0,3,0,0,Emmanuel Macron
Voter 15505,2,0,1,0,0,2,1,0,0,3,2,Jean-Luc Mélenchon
Voter 4154,1,1,1,1,0,2,1,0,1,3,2,Jean-Luc Mélenchon
Voter 25855,3,1,2,0,0,2,1,0,1,3,3,Jean-Luc Mélenchon
Voter 4456,1,0,0,0,0,2,0,0,0,1,3,Philippe Poutou
Voter 10794,1,2,1,0,3,0,0,0,1,3,1,abstention
Voter 23907,0,0,0,0,0,0,1,0,0,0,1,blanc
Voter 30828,1,3,2,1,0,0,1,1,0,2,0,François Asselineau
Voter 1858,0,0,0,0,0,0,0,0,0,0,0,blanc
Voter 7042,,0,,,2,1,,2,3,2,1,Emmanuel Macron
Voter 6067,0,0,0,0,0,1,0,0,3,0,0,Emmanuel Macron
Voter 31954,,,,0,0,3,,0,1,2,1,Benoît Hamon
Voter 29321,1,0,0,0,0,2,0,0,0,3,2,Jean-Luc Mélenchon
Voter 17522,1,0,0,0,0,1,0,0,0,3,2,Jean-Luc Mélenchon
Voter 18864,,,,,,3,,,,3,,Jean-Luc Mélenchon
Voter 34145,,,,3,3,,,1,0,2,,François Fillon
Voter 28759,,,,,,3,,,,2,1,Benoît Hamon
Voter 16850,,,,,,2,,,,2,1,incertitude
Voter 18654,1,0,0,0,0,3,1,0,0,3,1,Benoît Hamon
Voter 26623,0,0,0,2,2,2,0,0,3,1,0,Emmanuel Macron
Voter 1406,1,,,,,,,,,1,1,abstention
Voter 29654,1,0,0,0,0,2,0,0,0,3,3,Jean-Luc Mélenchon
Voter 5703,,,,,,3,1,,2,3,1,Jean-Luc Mélenchon
Voter 14829,1,0,0,0,0,2,1,0,0,2,1,Benoît Hamon
Voter 14421,1,,,,,3,,,2,3,,Benoît Hamon
Voter 25827,1,,,,,1,1,,3,,1,Emmanuel Macron
Voter 30616,1,0,0,1,0,3,0,0,1,3,1,Jean-Luc Mélenchon
Voter 20276,1,0,0,0,0,2,0,0,3,1,1,Emmanuel Macron
Voter 13521,2,0,0,0,0,3,,0,,0,,Benoît Hamon
Voter 24847,0,2,0,3,1,0,1,3,0,0,0,Marine Le Pen
Voter 10996,,,,,1,3,,,3,2,,Emmanuel Macron
Voter 6363,0,0,0,0,0,2,0,0,3,1,0,Emmanuel Macron
Voter 6358,,,,,2,1,,,3,1,,Emmanuel Macron
Voter 34733,,,,,,2,,,,3,,Jean-Luc Mélenchon
Voter 3300,1,2,0,0,0,0,0,0,0,1,3,Philippe Poutou
Voter 4302,0,0,0,1,0,2,0,0,3,2,0,Emmanuel Macron
Voter 12147,2,1,0,0,1,3,0,1,1,3,2,Benoît Hamon
Voter 12395,1,0,1,0,0,2,1,0,0,3,3,non inscrit
Voter 4764,3,0,1,0,0,3,0,0,0,3,2,Jean-Luc Mélenchon
Voter 8428,,,,,,3,,,2,,,Benoît Hamon
Voter 29770,1,0,2,0,0,1,2,0,1,3,3,abstention
Voter 12729,1,0,0,0,1,3,0,0,2,2,2,Benoît Hamon
Voter 3606,,,,,,,,,,3,,Jean-Luc Mélenchon
Voter 11845,0,0,0,0,2,1,0,0,3,0,0,Emmanuel Macron
Voter 13728,0,0,0,0,0,2,1,0,3,2,0,Emmanuel Macron
Voter 1782,3,0,0,0,0,3,1,0,0,3,2,incertitude
Voter 11951,1,1,1,0,0,2,1,0,0,3,1,Jean-Luc Mélenchon
Voter 10341,1,0,0,1,0,3,0,0,1,3,2,ne se prononce pas
Voter 37052,1,,,,,,,,,3,2,Jean-Luc Mélenchon
Voter 13415,,,,,,2,,,,3,2,Jean-Luc Mélenchon
Voter 24185,0,3,0,1,3,0,2,3,0,1,0,blanc
Voter 26683,0,0,1,0,0,2,0,0,0,3,1,Jean-Luc Mélenchon
Voter 22678,2,0,1,0,0,3,1,0,2,2,1,Emmanuel Macron
Voter 3494,,,,,1,3,,0,2,1,,Benoît Hamon
Voter 35705,,,1,,,3,2,,1,3,2,Jean-Luc Mélenchon
